strategy,invested,final,multiple,irr_pct,max_dd_pct,switches,band_pct
->CASH,121000.0,723039.0220958178,5.9755291082299,33.53692966469606,-44.673514065856544,58,0.0
->QQQ,121000.0,1054053.2548605336,8.71118392446722,40.575755847439986,-46.61746488342654,58,0.0
->QLD,121000.0,1439184.1621568962,11.894083984767738,46.474296247830715,-52.275781806343026,58,0.0
->CASH,121000.0,611832.6056841795,5.0564678155717315,30.44349845006972,-50.6196275519406,30,1.0
->QQQ,121000.0,945470.3387450548,7.813804452438469,38.53581588621326,-49.774556186441224,30,1.0
->QLD,121000.0,1364086.1011214734,11.273438852243581,45.45292109255333,-53.729066155610305,30,1.0
->CASH,121000.0,673774.2310680514,5.568382074942574,32.22833896225291,-51.16748708258938,18,2.0
->QQQ,121000.0,1012867.132030325,8.370802744052273,39.82682384322842,-44.08174820257711,18,2.0
->QLD,121000.0,1417249.6033023412,11.712806638862324,46.181302581424,-49.755000736273516,18,2.0
->CASH,121000.0,769610.9976633633,6.360421468292259,34.696518638963056,-49.789234040483024,14,3.0
->QQQ,121000.0,1104849.5213864008,9.1309877800529,41.46175533587293,-43.0054467510997,14,3.0
->QLD,121000.0,1479598.0874040723,12.228083366975804,47.003217243648486,-49.75295360033438,14,3.0
->CASH,121000.0,591176.2694627206,4.8857542930803355,29.80867209530715,-52.044590711615115,10,5.0
->QQQ,121000.0,918988.4337272213,7.594945733282821,38.00417860628167,-48.05039858121026,10,5.0
->QLD,121000.0,1341373.6020900116,11.085732248677783,45.133493114250356,-50.48638390874143,10,5.0
