endpoint,end,years,start,strategy,invested,final,multiple,irr_pct,max_dd_pct,switches
dot-com trough 2002-10,2002-10-09,3,1999-10-11,DCA QQQ (buy&hold),37000.0,16246.219167499848,0.43908700452702293,-47.63075878011406,-37.77274500331832,0
dot-com trough 2002-10,2002-10-09,3,1999-10-11,DCA QLD (buy&hold),37000.0,7301.22822870131,0.197330492667603,-81.59689648906124,-75.14585618054389,0
dot-com trough 2002-10,2002-10-09,3,1999-10-11,DCA TQQQ (buy&hold),37000.0,4053.5470196185775,0.10955532485455614,-95.73567252786519,-90.85171677021042,0
dot-com trough 2002-10,2002-10-09,3,1999-10-11,DCA TQQQ + SMA200->CASH,37000.0,24853.209146037836,0.6717083552983198,-24.600474948527534,-76.05907695380071,7
dot-com trough 2002-10,2002-10-09,3,1999-10-11,DCA TQQQ + SMA200->QQQ,37000.0,12974.149921695185,0.35065270058635634,-58.501356484291264,-76.05907695380071,7
dot-com trough 2002-10,2002-10-09,3,1999-10-11,DCA TQQQ + SMA200->QLD,37000.0,6852.040113725725,0.1851902733439385,-83.64919136112303,-79.70842375736011,7
GFC trough 2009-03,2009-03-09,3,2006-03-09,DCA QQQ (buy&hold),37000.0,23107.011140487637,0.624513814607774,-28.81789224812047,-40.852676421836485,0
GFC trough 2009-03,2009-03-09,3,2006-03-09,DCA QLD (buy&hold),37000.0,11885.29388877937,0.3212241591561992,-62.607996839543546,-71.97599477214611,0
GFC trough 2009-03,2009-03-09,3,2006-03-09,DCA TQQQ (buy&hold),37000.0,6418.021564173044,0.17346004227494713,-85.8525893791794,-88.77793466380919,0
GFC trough 2009-03,2009-03-09,3,2006-03-09,DCA TQQQ + SMA200->CASH,37000.0,29138.81299147329,0.7875354862560349,-15.153131418708302,-36.60581888689026,5
GFC trough 2009-03,2009-03-09,3,2006-03-09,DCA TQQQ + SMA200->QQQ,37000.0,18986.88072075694,0.5131589383988362,-39.622529332250636,-57.82803072269007,5
GFC trough 2009-03,2009-03-09,3,2006-03-09,DCA TQQQ + SMA200->QLD,37000.0,10934.169788967822,0.29551810240453574,-66.26865209995873,-77.52628219837999,5
GFC trough 2009-03,2009-03-09,5,2004-03-09,DCA QQQ (buy&hold),61000.0,39781.204354965135,0.6521508910650022,-16.811884164583912,-44.51881500853828,0
GFC trough 2009-03,2009-03-09,5,2004-03-09,DCA QLD (buy&hold),61000.0,18780.60462806035,0.307878764394432,-46.23371852833335,-76.9406858559411,0
GFC trough 2009-03,2009-03-09,5,2004-03-09,DCA TQQQ (buy&hold),61000.0,9040.416173591686,0.1482035438293719,-74.59565376825816,-91.71530020972745,0
GFC trough 2009-03,2009-03-09,5,2004-03-09,DCA TQQQ + SMA200->CASH,61000.0,47156.90396240715,0.7730639993837238,-10.152451480833871,-47.69627986891257,9
GFC trough 2009-03,2009-03-09,5,2004-03-09,DCA TQQQ + SMA200->QQQ,61000.0,30574.059313802944,0.5012140871115237,-27.09433724021142,-67.11892248008769,9
GFC trough 2009-03,2009-03-09,5,2004-03-09,DCA TQQQ + SMA200->QLD,61000.0,16550.964183367432,0.27132728169454806,-51.230709383976105,-82.79162393892499,9
GFC trough 2009-03,2009-03-09,7,2002-03-11,DCA QQQ (buy&hold),85000.0,61702.66424212763,0.7259136969662073,-9.200040095509038,-46.70934799423255,0
GFC trough 2009-03,2009-03-09,7,2002-03-11,DCA QLD (buy&hold),85000.0,29115.948415552415,0.3425405695947343,-32.25366022208901,-79.39607950923306,0
GFC trough 2009-03,2009-03-09,7,2002-03-11,DCA TQQQ (buy&hold),85000.0,13302.726256390548,0.15650266183988878,-60.16307892010933,-92.78110108206214,0
GFC trough 2009-03,2009-03-09,7,2002-03-11,DCA TQQQ + SMA200->CASH,85000.0,66908.45881460843,0.7871583389953932,-6.851399794384419,-51.432420632666975,17
GFC trough 2009-03,2009-03-09,7,2002-03-11,DCA TQQQ + SMA200->QQQ,85000.0,45364.523933474804,0.5337002815702918,-18.315565253004944,-70.2653227154,17
GFC trough 2009-03,2009-03-09,7,2002-03-11,DCA TQQQ + SMA200->QLD,85000.0,24730.599336947776,0.29094822749350324,-37.70494537321646,-84.70183757992376,17
2022 bear trough 2022-12,2022-12-28,3,2019-12-30,DCA QQQ (buy&hold),37000.0,33448.74720206929,0.9040201946505213,-6.319755215375526,-22.417736412312394,0
2022 bear trough 2022-12,2022-12-28,3,2019-12-30,DCA QLD (buy&hold),37000.0,26181.666046798622,0.7076125958594223,-20.841491157778744,-50.96355754495898,0
2022 bear trough 2022-12,2022-12-28,3,2019-12-30,DCA TQQQ (buy&hold),37000.0,18601.844083064658,0.5027525427855313,-39.269548537523406,-72.62367661646185,0
2022 bear trough 2022-12,2022-12-28,3,2019-12-30,DCA TQQQ + SMA200->CASH,37000.0,56599.65548029107,1.5297204183862452,28.975421998566148,-60.05174871978374,1
2022 bear trough 2022-12,2022-12-28,3,2019-12-30,DCA TQQQ + SMA200->QQQ,37000.0,42556.8529555606,1.1501852150151513,9.106498594258655,-60.05174871978374,1
2022 bear trough 2022-12,2022-12-28,3,2019-12-30,DCA TQQQ + SMA200->QLD,37000.0,29059.173624274397,0.7853830709263351,-14.798504220639746,-60.05174871978374,1
2022 bear trough 2022-12,2022-12-28,5,2017-12-28,DCA QQQ (buy&hold),61000.0,70432.82763910404,1.1546365186738368,5.615446285515456,-28.05465296601587,0
2022 bear trough 2022-12,2022-12-28,5,2017-12-28,DCA QLD (buy&hold),61000.0,63685.11419842746,1.044018265547991,1.6764824202058577,-58.32997798004618,0
2022 bear trough 2022-12,2022-12-28,5,2017-12-28,DCA TQQQ (buy&hold),61000.0,47098.20307948141,0.7721016898275641,-9.978589669618131,-78.8799286050766,0
2022 bear trough 2022-12,2022-12-28,5,2017-12-28,DCA TQQQ + SMA200->CASH,61000.0,121166.45341464592,1.9863353018794414,27.439894563271427,-56.293745573507614,9
2022 bear trough 2022-12,2022-12-28,5,2017-12-28,DCA TQQQ + SMA200->QQQ,61000.0,103605.43519344107,1.6984497572695256,21.020019911925548,-57.61061821447282,9
