strategy,invested,final,multiple,irr_pct,max_dd_pct,switches,window,start,end
DCA QQQ (buy&hold),121000.0,83579.41518370724,0.6907389684603904,-7.583762651317224,-51.828882222079706,0,QQQ inception 1999-03,1999-03-10,2009-03-10
DCA QLD (buy&hold),121000.0,35862.35017524441,0.2963830592995406,-27.663681221857367,-87.30379693491184,0,QQQ inception 1999-03,1999-03-10,2009-03-10
DCA TQQQ (buy&hold),121000.0,16271.761107948782,0.1344773645285023,-52.689019099275214,-96.82033759774643,0,QQQ inception 1999-03,1999-03-10,2009-03-10
DCA TQQQ + SMA200->CASH,121000.0,92938.72634292707,0.7680886474622072,-5.358164840219965,-81.14787646568968,25,QQQ inception 1999-03,1999-03-10,2009-03-10
DCA TQQQ + SMA200->QQQ,121000.0,59412.4428704184,0.4910119245489124,-15.101187934705557,-83.60254435399929,25,QQQ inception 1999-03,1999-03-10,2009-03-10
DCA TQQQ + SMA200->QLD,121000.0,30563.948491451938,0.2525946156318342,-32.13525364958748,-92.84515181871501,25,QQQ inception 1999-03,1999-03-10,2009-03-10
DCA QQQ (buy&hold),121000.0,249121.87134563096,2.0588584408729833,13.774014916807475,-40.11659655406601,0,QLD inception 2006-06,2006-06-21,2016-06-21
DCA QLD (buy&hold),121000.0,414388.5147378883,3.4246984689081676,23.16051063340028,-71.30222834322186,0,QLD inception 2006-06,2006-06-21,2016-06-21
DCA TQQQ (buy&hold),121000.0,619784.1377875253,5.122182956921697,30.56168545163499,-87.96899913271658,0,QLD inception 2006-06,2006-06-21,2016-06-21
DCA TQQQ + SMA200->CASH,121000.0,241091.85074619195,1.9924946342660492,13.164547762321668,-51.43159921413789,26,QLD inception 2006-06,2006-06-21,2016-06-21
DCA TQQQ + SMA200->QQQ,121000.0,360385.7638404146,2.9783947424827653,20.59439684737572,-55.19516792392671,26,QLD inception 2006-06,2006-06-21,2016-06-21
DCA TQQQ + SMA200->QLD,121000.0,480329.3468887832,3.9696640238742416,25.87283364157338,-76.03408291985416,26,QLD inception 2006-06,2006-06-21,2016-06-21
DCA QQQ (buy&hold),121000.0,340964.72769017535,2.8178903114890526,19.656663715409227,-22.042662841021667,0,TQQQ inception 2010-02,2010-02-11,2020-02-11
DCA QLD (buy&hold),121000.0,832194.4915218496,6.8776404258004105,36.15190904505242,-42.01518790191633,0,TQQQ inception 2010-02,2010-02-11,2020-02-11
DCA TQQQ (buy&hold),121000.0,1906571.0148279087,15.756785246511642,51.883065168009836,-57.920810953267285,0,TQQQ inception 2010-02,2010-02-11,2020-02-11
DCA TQQQ + SMA200->CASH,121000.0,673774.2310680514,5.568382074942574,32.22833896225291,-51.16748708258938,18,TQQQ inception 2010-02,2010-02-11,2020-02-11
DCA TQQQ + SMA200->QQQ,121000.0,1012867.132030325,8.370802744052273,39.82682384322842,-44.08174820257711,18,TQQQ inception 2010-02,2010-02-11,2020-02-11
DCA TQQQ + SMA200->QLD,121000.0,1417249.6033023412,11.712806638862324,46.181302581424,-49.755000736273516,18,TQQQ inception 2010-02,2010-02-11,2020-02-11
DCA QQQ (buy&hold),120000.0,240674.89574143934,2.0056241311786613,13.345543788612755,-32.71520503659586,0,pre-2022-bear 2013-01,2013-01-02,2022-12-30
DCA QLD (buy&hold),120000.0,344568.2664225849,2.8714022201882075,20.01738764471992,-62.75794866920956,0,pre-2022-bear 2013-01,2013-01-02,2022-12-30
DCA TQQQ (buy&hold),120000.0,379072.0196835601,3.158933497363001,21.78285986350214,-81.33303607845373,0,pre-2022-bear 2013-01,2013-01-02,2022-12-30
DCA TQQQ + SMA200->CASH,120000.0,559794.0712915262,4.664950594096052,28.991583228560238,-58.99630076865341,17,pre-2022-bear 2013-01,2013-01-02,2022-12-30
DCA TQQQ + SMA200->QQQ,120000.0,610396.9765962628,5.086641471635523,30.59561425081792,-58.598996015918836,17,pre-2022-bear 2013-01,2013-01-02,2022-12-30
DCA TQQQ + SMA200->QLD,120000.0,530780.2008534983,4.4231683404458195,28.006253176728045,-68.49307015546337,17,pre-2022-bear 2013-01,2013-01-02,2022-12-30
DCA QQQ (buy&hold),121000.0,336233.23267332267,2.778787046886964,19.476751302739682,-31.36855532981756,0,recent 2015-01,2015-01-02,2025-01-02
DCA QLD (buy&hold),121000.0,612285.6064127412,5.060211623245795,30.57415822474323,-61.91857456749648,0,recent 2015-01,2015-01-02,2025-01-02
DCA TQQQ (buy&hold),121000.0,841052.5574077565,6.950847581882285,36.48653190163286,-80.91101626609559,0,recent 2015-01,2015-01-02,2025-01-02
DCA TQQQ + SMA200->CASH,121000.0,1120226.9538552088,9.25807399880338,41.87805044474252,-58.59852784374971,16,recent 2015-01,2015-01-02,2025-01-02
DCA TQQQ + SMA200->QQQ,121000.0,1234623.4478868502,10.203499569312811,43.72183606130993,-58.45609913705194,16,recent 2015-01,2015-01-02,2025-01-02
DCA TQQQ + SMA200->QLD,121000.0,1111443.5749315396,9.185484090343303,41.7291427217594,-67.92219142070519,16,recent 2015-01,2015-01-02,2025-01-02
