years,start,strategy,invested,final,multiple,irr_pct,max_dd_pct,switches
3,2023-05-30,DCA QQQ (buy&hold),37000.0,58308.783940560854,1.5759130794746177,31.200593157513502,-16.690832526347133,0
3,2023-05-30,DCA QLD (buy&hold),37000.0,79117.1469602054,2.1383012691947405,54.84628172513255,-37.42060618535169,0
3,2023-05-30,DCA TQQQ (buy&hold),37000.0,101668.78205715146,2.747804920463553,76.12462001067468,-53.691680486048774,0
3,2023-05-30,DCA TQQQ + SMA200->CASH,37000.0,79530.0532857843,2.149460899615792,55.27033627384297,-34.36239344832286,4
3,2023-05-30,DCA TQQQ + SMA200->QQQ,37000.0,88728.99283088176,2.398080887321129,64.3565669375188,-37.49875605539923,4
3,2023-05-30,DCA TQQQ + SMA200->QLD,37000.0,96049.6234181364,2.5959357680577404,71.14532153554683,-45.88523502529148,4
5,2021-05-28,DCA QQQ (buy&hold),61000.0,114176.19434848268,1.8717408909587323,25.01227286949415,-20.277520421990857,0
5,2021-05-28,DCA QLD (buy&hold),61000.0,165939.8546432963,2.720325485955677,40.730251956669775,-40.08527370980657,0
5,2021-05-28,DCA TQQQ (buy&hold),61000.0,221209.1958192367,3.626380259331749,53.34828797689861,-55.90980892744499,0
5,2021-05-28,DCA TQQQ + SMA200->CASH,61000.0,190605.03678451755,3.1246727341724188,46.74969311784807,-41.24924285553801,6
5,2021-05-28,DCA TQQQ + SMA200->QQQ,61000.0,212110.91532767017,3.4772281201257407,51.472900151662174,-41.22310564019217,6
5,2021-05-28,DCA TQQQ + SMA200->QLD,61000.0,220848.48346600842,3.6204669420657116,53.27520300876022,-48.621299818870156,6
7,2019-05-28,DCA QQQ (buy&hold),85000.0,194313.93618920766,2.2860463081083253,22.9860353245599,-24.68395593982833,0
7,2019-05-28,DCA QLD (buy&hold),85000.0,313014.73776909197,3.6825263266951995,36.434013346448765,-54.312807613230696,0
7,2019-05-28,DCA TQQQ (buy&hold),85000.0,419703.3642050624,4.937686637706617,44.898911487003716,-76.0389261743001,0
7,2019-05-28,DCA TQQQ + SMA200->CASH,85000.0,547787.9876616879,6.44456456072574,52.753668234000514,-44.637204706625546,8
7,2019-05-28,DCA TQQQ + SMA200->QQQ,85000.0,568829.134211593,6.692107461312858,53.879790729328825,-51.35402885268234,8
7,2019-05-28,DCA TQQQ + SMA200->QLD,85000.0,511417.16123925534,6.01667248516771,50.71062923150931,-62.12184942553972,8
10,2016-05-31,DCA QQQ (buy&hold),121000.0,390002.01722771337,3.223157167171185,21.98908632910478,-29.998558287647814,0
10,2016-05-31,DCA QLD (buy&hold),121000.0,788352.6022612199,6.51531076248942,34.9223077065766,-60.95164330627723,0
10,2016-05-31,DCA TQQQ (buy&hold),121000.0,1184776.9880065715,9.79154535542621,42.51539724546891,-80.41253961962218,0
10,2016-05-31,DCA TQQQ + SMA200->CASH,121000.0,1387638.3665629157,11.468085674073684,45.49745696406971,-58.19843892652725,14
10,2016-05-31,DCA TQQQ + SMA200->QQQ,121000.0,1627051.8419299177,13.446709437437336,48.52496944093754,-58.29994315205352,14
10,2016-05-31,DCA TQQQ + SMA200->QLD,121000.0,1522855.745474588,12.585584673343702,47.262987413913194,-67.30221372714874,14
15,2011-05-31,DCA QQQ (buy&hold),181000.0,1020070.2407559265,5.635747186496832,20.568567735674282,-33.40955118742491,0
15,2011-05-31,DCA QLD (buy&hold),181000.0,3364149.630699016,18.586462048060863,33.94364461383274,-63.13963137968863,0
15,2011-05-31,DCA TQQQ (buy&hold),181000.0,7777904.738795051,42.97184938560802,43.50080753663341,-81.49797223274253,0
15,2011-05-31,DCA TQQQ + SMA200->CASH,181000.0,5219861.57941253,28.839014250897957,38.9227458283083,-59.1893522368146,24
15,2011-05-31,DCA TQQQ + SMA200->QQQ,181000.0,7770531.620879171,42.93111392750924,43.489844205505776,-58.6610352006849,24
15,2011-05-31,DCA TQQQ + SMA200->QLD,181000.0,8728556.09539393,48.224066825380824,44.83673091918462,-68.73327243285334,24
