regime,qqq_cagr,qqq_dd,纯QQQ_final,持有TQQQ_final,TQQQ+SMA全程_final,组合_final,纯QQQ_dd,持有TQQQ_dd,TQQQ+SMA全程_dd,组合_dd
有大跌/震荡,33.08867813442043,-43.17975954186755,2710592.9367245445,29457258.1431727,14245051.990662308,12399193.599630281,-41.8661937776299,-87.46625161526961,-71.06532631138603,-71.06532631138603
有大跌/震荡,5.936598744020283,-62.41705429297675,755955.529147515,582575.9039897765,1298152.7602493458,790722.5254393925,-49.04995771920851,-92.44216757895639,-72.14560532191885,-72.14560532191885
有大跌/震荡,9.514355122913344,-58.89894781975068,653645.3862620472,342013.51871082257,630675.8164737357,572805.4492775456,-47.895049189264505,-95.17069860789562,-84.77565429503854,-83.04760167867218
有大跌/震荡,9.440892568473537,-50.03495546423158,593365.5889661898,201839.9681913916,252541.1799429995,880365.773840125,-50.03494616856785,-91.54657666910865,-81.32680770899367,-55.16878773707806
有大跌/震荡,7.808317922356545,-47.066816113075745,540150.070709621,280291.8370898913,239267.2288467208,532355.3621968257,-36.85532379867281,-86.89758432032025,-80.4386921015547,-64.51354853786717
有大跌/震荡,8.79780077797092,-47.951964113476045,753491.8389634532,941370.0588456026,692423.6974977917,391099.21366872493,-40.12630339438555,-89.22765085721137,-71.2588081433561,-71.2588081433561
有大跌/震荡,8.175862702692903,-56.85802732588059,920043.2712111411,1196574.2885847962,1688070.1469884708,858103.3980474301,-45.70176418237909,-91.87800509817666,-69.90123615402482,-69.90123615402482
有大跌/震荡,16.343447384933274,-44.76708506434204,1470723.0892118008,3476483.1539186086,5211841.938612206,1649262.9721395455,-37.32050502283456,-81.16872347409577,-70.89420882740156,-70.89420882740156
有大跌/震荡,4.061052889850303,-61.59500089672275,539428.004588146,135372.98347705897,390733.65106296155,708966.8897834192,-61.42854748971509,-97.1716053888452,-76.88946242888566,-64.2238229452473
有大跌/震荡,19.03171554041334,-38.806930452684405,1344353.328917466,4383190.656355445,3339398.1409559837,2018754.745897603,-34.74392726603924,-78.39225655927751,-58.51880997005691,-58.51880997005691
有大跌/震荡,-2.806231786523672,-60.434772270975316,287372.7498089223,18324.451378987113,137884.9576705745,271068.8508463984,-56.79844236783514,-98.38852169200499,-84.63569515351364,-72.84645579776685
有大跌/震荡,7.100997274777976,-49.082386783995545,641616.3549268788,427345.6980587589,1216247.5851628277,1027076.5603495388,-41.88305973247813,-89.22449028911312,-65.92414901944224,-65.92414901944224
有大跌/震荡,12.13462230421225,-46.150317042503254,1005180.2874234039,796525.9580881118,902605.2191740368,1086077.6621881558,-45.996200180197256,-92.35795179345607,-79.60686943662998,-79.60686943662998
有大跌/震荡,1.62992824506345,-72.10761392336637,341565.50801597413,26930.139393734084,162646.9025337542,184144.59336408606,-72.00304268104234,-99.2129980558553,-91.61880136154187,-72.00304268104232
有大跌/震荡,16.491764437217604,-39.87231612350587,1474790.1917297582,4617163.744484172,2439176.8278925014,2810224.827934449,-33.07086604153208,-81.9403119454366,-67.54249152742008,-67.55872028165635
强劲平稳,19.72621546836979,-30.89926149922787,1187895.0433238586,3933135.2903789915,1763739.6204740438,1380661.3642384917,-27.65576850742193,-69.10245752959125,-56.81635687514157,-56.81635687514157
有大跌/震荡,20.749067666246667,-42.916401196386985,1503344.1947249167,3410535.4041664973,3588678.9037536415,3481418.6485114386,-35.61030150003438,-85.27277508490214,-80.42286309165756,-53.35681486667545
有大跌/震荡,-6.835994812441415,-80.54645046534128,138534.7090086745,4809.188770959182,41340.02530360396,109737.72368442533,-68.53657099486871,-99.37657471675463,-93.23198274574588,-83.33416852966529
有大跌/震荡,19.692073119715523,-37.149584672525826,1294348.8219787339,2885444.2387692155,979057.8283690138,832123.9947077747,-32.987529937902025,-78.45050946511857,-76.53036163223908,-76.53036163223908
有大跌/震荡,0.2601473784288766,-62.3989424046046,430187.2485409177,140423.6556226823,255963.131851366,501371.7051278032,-49.36909159091276,-91.49101818543126,-73.07793475086535,-57.39727965377541
有大跌/震荡,12.208738370685811,-43.0466983635986,666681.0782399366,518223.06068977684,496119.1791374546,1893016.1968608652,-42.17088131806204,-89.58785084989212,-83.33108647240147,-51.659506227219495
有大跌/震荡,15.0350884927146,-59.51276142171263,1161755.9942045293,1797919.4521313,3389371.988589811,630908.2799085405,-50.73680662533191,-95.48373057928772,-86.34380483881435,-86.35063293639493
有大跌/震荡,9.75039956334629,-40.79776884539375,691104.0276572409,314497.71391438704,359984.66817260993,642230.5282503911,-39.546591756234115,-87.57189488645103,-71.75389324807244,-59.0741451676031
有大跌/震荡,21.4932918381056,-44.18550256791979,2065369.5475282578,12635362.456547622,11673619.167519392,4746357.386745737,-44.18549396767588,-87.03719509877828,-69.82708290968773,-57.42203445599077
有大跌/震荡,3.2670801647024517,-69.97369221431754,253899.68396746143,10551.40609136699,29245.063619409902,264801.90342984657,-64.42005124185727,-99.60501857324384,-97.53723247021748,-83.00234125021797
有大跌/震荡,6.7218134304857236,-49.27957273948077,552880.1042429213,185026.29636148046,203150.23977058553,235994.55408500807,-49.11291987769532,-90.97089506866732,-78.15797507041829,-71.9232389259382
有大跌/震荡,5.224905344503061,-74.1146735102006,1119693.6813802037,3686804.7965314216,2042385.5844832093,814932.5172993775,-24.363880885227662,-73.3565861415046,-67.97461240642917,-67.97461240642917
