source,plan,strategy,final_median,mult_median,irr_median,final_p5,p_loss,worst5_dd
hist,A_front6,QQQ,1090914.3887917595,2.9888065446349574,16.337650691101647,432920.67026328173,2.4154589371980677,-53.403988092409435
hist,A_front6,TQQQ裸,3095486.7911259243,8.480785729112121,33.30486123485379,152650.12566528615,15.458937198067632,-94.65412301108172
hist,A_front6,TQQQ+SMA->QQQ,2545576.1030346104,6.974181104204412,30.03085312468049,331679.5536047801,5.797101449275362,-74.67951275434628
hist,B_even10,QQQ,836217.7357594953,2.2910074952314896,15.9061670616995,415817.2842146516,2.4154589371980677,-47.95531438012932
hist,B_even10,TQQQ裸,2143783.2187372674,5.954953385381281,33.62399278999041,218545.6507288476,10.144927536231885,-92.8320533874114
hist,B_even10,TQQQ+SMA->QQQ,1823181.559289812,4.995017970657016,30.28240184146841,342449.9607014978,5.797101449275362,-74.39841433427418
mc,A_front6,QQQ,803073.1441065106,2.2002003948123576,12.223794092622583,265119.5274981243,10.05,-66.66525170450751
mc,A_front6,TQQQ裸,677619.1993390126,1.8564909570931851,9.52448654705515,19212.01070750229,36.6,-99.00540579810364
mc,A_front6,TQQQ+SMA->QQQ,745605.7353089943,2.042755439202724,11.039301957792931,80648.18464990467,29.45,-91.32914247727588
mc,B_even10,QQQ,680043.5535171563,1.863133023334676,12.410935345029234,287441.38559107645,10.65,-61.19188317924076
mc,B_even10,TQQQ裸,655113.8207686722,1.794832385667596,11.681436939152672,69457.65016960847,34.150000000000006,-97.87783855799113
mc,B_even10,TQQQ+SMA->QQQ,665602.9738407112,1.8235697913444153,11.991898707381967,135260.1909257572,29.099999999999998,-86.51426490194356
