source,strategy,final_median,mult_median,irr_median,final_p5,p_loss,worst5_dd
hist,持有TQQQ不转,3075615.804078671,8.543377233551864,33.29225665708064,150746.98671626838,15.458937198067632,-94.65412301108174
hist,第6年转QLD,2721128.843724018,7.558691232566717,31.218988265534897,268693.0051867204,11.594202898550725,-92.3470632512456
hist,第6年转QQQ,1967312.5089026925,5.464756969174146,25.857674598824364,273995.26455841,9.66183574879227,-92.3470632512456
hist,第6年转现金,1073668.3524965018,2.9705401434979684,16.218768134312377,203872.34119296324,16.425120772946862,-92.3470632512456
hist,TQQQ+SMA(全程动态),2545576.1030346104,6.974181104204412,30.03085312468049,331679.5536047801,5.797101449275362,-74.67951275434628
mc,持有TQQQ不转,677280.3897393433,1.8555627116146391,9.516593658468889,19202.40470214856,36.65,-99.00540579810364
mc,第6年转QLD,824443.8274631251,2.2587502122277403,12.644487086062862,64451.21578761003,28.9,-96.55289638412083
mc,第6年转QQQ,795851.8332209124,2.1804159814271573,12.079312997609364,107056.20402735072,25.0,-95.33465271718353
mc,第6年转现金,591971.4457869797,1.6218395774985745,7.40349060245493,99964.81703899059,33.5,-95.31674834698823
mc,TQQQ+SMA(全程动态),745605.7353089943,2.042755439202724,11.039301957792931,80648.18464990467,29.45,-91.32914247727588
